DATE,BATCH,BLOCK,WT,PLANT/ETC,REMARKS,BLOCK LOC,AVG PRICE,AVG WTD VALUE
45899,SEPTEMBER,JULY-25-BLK8,6955,MAIN,,D-12D,41.92548737,291591.7646
,,,,,,,,
45901,SEPTEMBER,JUNE-25-BLK5,5209,MAIN,,C-7A,35.79728069,186468.0351
45901,SEPTEMBER,AUG-25-FEED3,6000,MAIN,CLOSED,,44.75,268500
45901,SEPTEMBER,JULY-25-BLK8,30909,MAIN,,D-12D,41.92548737,1295874.889
,,,,,,,,
45902,SEPTEMBER,JUNE-25-BLK5,8511,MAIN,,C-7A,35.79728069,304670.6559
45902,SEPTEMBER,JULY-25-BLK8,9583,MAIN,CLOSED,D-12D,41.92548737,401771.9454
45902,SEPTEMBER,JULY-25-BLK6,14447,MAIN,,D-7D,40.39271298,583553.5244
45902,SEPTEMBER,MARCH-25-BLK2,11279,MAIN,,C-1A,29.95405145,337851.7463
,,,,,,,,
45903,SEPTEMBER,JUNE-25-BLK5,5645,MAIN,,C-7A,35.79728069,202075.6495
45903,SEPTEMBER,JULY-25-BLK6,11655,MAIN,,D-7D,40.39271298,470777.0698
45903,SEPTEMBER,MARCH-25-BLK2,10426,MAIN,,C-1A,29.95405145,312300.9404
45903,SEPTEMBER,SEPT-25-FEED1,1000,MAIN,,,44.75,44750
,,,,,,,,
45904,SEPTEMBER,JUNE-25-BLK5,1483,MAIN,CLOSED,C-7A,35.79728069,53087.36726
45904,SEPTEMBER,JULY-25-BLK6,11577,MAIN,,D-7D,40.39271298,467626.4382
45904,SEPTEMBER,MARCH-25-BLK2,11095,MAIN,,C-1A,29.95405145,332340.2009
45904,SEPTEMBER,SEPT-25-FEED1,17000,MAIN,CLOSED,,44.75,760750
45904,SEPTEMBER,AUG-25-BLK3,5089,MAIN,,D-7C,43.25,220099.25
,,,,,,,,
45905,SEPTEMBER,JULY-25-BLK6,9091,MAIN,CLOSED,D-7D,40.39271298,367210.1537
45905,SEPTEMBER,MARCH-25-BLK2,3366,MAIN,CLOSED,C-1A,29.95405145,100825.3372
45905,SEPTEMBER,AUG-25-BLK3,6715,MAIN,,D-7C,43.25,290423.75
45905,SEPTEMBER,APRIL-25-BLK8,8384,MAIN,,C-2B,32.48200099,272329.0963
45905,SEPTEMBER,AUG-25-BLK13,3692,MAIN,,D-13D,44.79200115,165372.0682
,,,,,,,,
45906,SEPTEMBER,AUG-25-BLK3,2904,MAIN,,D-7C,43.25,125598
45906,SEPTEMBER,APRIL-25-BLK8,6121,MAIN,,C-2B,32.48200099,198822.3281
45906,SEPTEMBER,AUG-25-BLK13,7334,MAIN,,D-13D,44.79200115,328504.5364
45906,SEPTEMBER,SEPT-25-FEED2,3070,MAIN,,,44.75,137382.5
,,,,,,,,
45908,SEPTEMBER,AUG-25-BLK3,11023,MAIN,,D-7C,43.25,476744.75
45908,SEPTEMBER,APRIL-25-BLK8,13109,MAIN,,C-2B,32.48200099,425806.551
45908,SEPTEMBER,AUG-25-BLK13,11897,MAIN,,D-13D,44.79200115,532890.4376
45908,SEPTEMBER,SEPT-25-FEED2,8000,MAIN,,,44.75,358000
,,,,,,,,
45909,SEPTEMBER,AUG-25-BLK3,9255,MAIN,,D-7C,43.25,400278.75
45909,SEPTEMBER,APRIL-25-BLK8,8474,MAIN,,C-2B,32.48200099,275252.4764
45909,SEPTEMBER,AUG-25-BLK13,3138,MAIN,CLOSED,D-13D,44.79200115,140557.2996
45909,SEPTEMBER,SEPT-25-FEED2,4000,MAIN,CLOSED,,44.75,179000
45909,SEPTEMBER,SEPT-25-FEED3,10610,MAIN,,,45.25,480102.5
,,,,,,,,
45910,SEPTEMBER,AUG-25-BLK3,4328,MAIN,,D-7C,43.25,187186
45910,SEPTEMBER,APRIL-25-BLK8,3985,MAIN,CLOSED,C-2B,32.48200099,129440.774
45910,SEPTEMBER,SEPT-25-FEED3,10610,MAIN,CLOSED,,45.25,480102.5
45910,SEPTEMBER,JULY-25-BLK12,3526,MAIN,,D-15D,40.71820616,143572.3949
,,,,,,,,
45911,SEPTEMBER,AUG-25-BLK3,9086,MAIN,CLOSED,D-7C,43.25,392969.5
45911,SEPTEMBER,JULY-25-BLK12,5313,MAIN,,D-15D,40.71820616,216335.8293
45911,SEPTEMBER,APRIL-25-BLK3,10186,MAIN,,C-2A,31.61276713,322007.646
45911,SEPTEMBER,AUG-25-BLK9,2548,MAIN,,D-7B,43.25,110201
45911,SEPTEMBER,SEPT-25-FEED4,9935,MAIN,,,45.25,449558.75
,,,,,,,,
45912,SEPTEMBER,JULY-25-BLK12,5377,MAIN,,D-15D,40.71820616,218941.7945
45912,SEPTEMBER,APRIL-25-BLK3,11145,MAIN,,C-2A,31.61276713,352324.2896
45912,SEPTEMBER,AUG-25-BLK9,13063,MAIN,,D-7B,43.25,564974.75
45912,SEPTEMBER,SEPT-25-FEED4,10000,MAIN,CLOSED,,45.25,452500
,,,,,,,,
45913,SEPTEMBER,JULY-25-BLK12,4336,MAIN,CLOSED,D-15D,40.71820616,176554.1419
45913,SEPTEMBER,APRIL-25-BLK3,10239,MAIN,,C-2A,31.61276713,323683.1226
45913,SEPTEMBER,AUG-25-BLK9,12665,MAIN,,D-7B,43.25,547761.25
45913,SEPTEMBER,SEPT-25-FEED5,5000,MAIN,,,45.25,226250
,,,,,,,,
45915,SEPTEMBER,APRIL-25-BLK3,8151,MAIN,,C-2A,31.61276713,257675.6649
45915,SEPTEMBER,AUG-25-BLK9,10481,MAIN,,D-7B,43.25,453303.25
45915,SEPTEMBER,SEPT-25-FEED5,3000,MAIN,,,45.25,135750
45915,SEPTEMBER,JULY-24-BLK5,5782,MAIN,,C-20A,17.83696233,103133.3162
,,,,,,,,
45916,SEPTEMBER,APRIL-25-BLK3,10533,MAIN,,C-2A,31.61276713,332977.2762
45916,SEPTEMBER,AUG-25-BLK9,11851,MAIN,CLOSED,D-7B,43.25,512555.75
45916,SEPTEMBER,SEPT-25-FEED5,8000,MAIN,,,45.25,362000
45916,SEPTEMBER,JULY-24-BLK5,5503,MAIN,,C-20A,17.83696233,98156.80368
,,,,,,,,
45917,SEPTEMBER,APRIL-25-BLK3,3668,MAIN,CLOSED,C-2A,31.61276713,115955.6298
45917,SEPTEMBER,SEPT-25-FEED5,2985,MAIN,CLOSED,,45.25,135071.25
45917,SEPTEMBER,JULY-24-BLK5,4766,MAIN,,C-20A,17.83696233,85010.96245
45917,SEPTEMBER,JUNE-25-TNK4,15063,MAIN,,D-5D,38.25971931,576306.152
,,,,,,,,
45918,SEPTEMBER,JULY-24-BLK5,5462,MAIN,CLOSED,C-20A,17.83696233,97425.48823
45918,SEPTEMBER,JUNE-25-TNK4,19742,MAIN,,D-5D,38.25971931,755323.3786
45918,SEPTEMBER,SEPT-25-FEED6,1520,MAIN,,,44.75,68020
,,,,,,,,
45919,SEPTEMBER,JULY-24-BLK5,5274,MAIN,,C-20A,17.83696233,94072.13931
45919,SEPTEMBER,JUNE-25-TNK4,18873,MAIN,,D-5D,38.25971931,722075.6825
45919,SEPTEMBER,SEPT-25-FEED6,7000,MAIN,,,44.75,313250
,,,,,,,,
45920,SEPTEMBER,JULY-24-BLK5,3116,MAIN,,C-20A,17.83696233,55579.97461
45920,SEPTEMBER,JUNE-25-TNK4,6360,MAIN,CLOSED,D-5D,38.25971931,243331.8148
45920,SEPTEMBER,SEPT-25-FEED6,10000,MAIN,CLOSED,,44.75,447500
45920,SEPTEMBER,AUG-25-TNK3,7519,MAIN,,D-5C,46,345874
,,,,,,,,
45922,SEPTEMBER,JULY-24-BLK5,7566,MAIN,,C-20A,17.83696233,134954.457
45922,SEPTEMBER,AUG-25-TNK3,27842,MAIN,,D-5C,46,1280732
45922,SEPTEMBER,SEPT-25-FEED7,2510,MAIN,,,44.75,112322.5
,,,,,,,,
45923,SEPTEMBER,JULY-24-BLK5,4943,MAIN,,C-20A,17.83696233,88168.10478
45923,SEPTEMBER,AUG-25-TNK3,11050,MAIN,CLOSED,D-5C,46,508300
45923,SEPTEMBER,SEPT-25-FEED7,6000,MAIN,,,44.75,268500
45923,SEPTEMBER,AUG-25-BLK14,8142,MAIN,,A-19B,44.75,364354.5
,,,,,,,,
45924,SEPTEMBER,JULY-24-BLK5,8947,MAIN,,C-20A,17.83696233,159587.3019
45924,SEPTEMBER,SEPT-25-FEED7,7000,MAIN,,,44.75,313250
45924,SEPTEMBER,AUG-25-BLK14,18345,MAIN,,A-19B,44.75,820938.75
45924,SEPTEMBER,AUG-25-TNK5,17829,MAIN,,D-5B,46,820134
,,,,,,,,
45925,SEPTEMBER,JULY-24-BLK5,3139,MAIN,CLOSED,C-20A,17.83696233,55990.22474
45925,SEPTEMBER,SEPT-25-FEED7,3000,MAIN,CLOSED,,44.75,134250
45925,SEPTEMBER,AUG-25-BLK14,7173,MAIN,,A-19B,44.75,320991.75
45925,SEPTEMBER,AUG-25-TNK5,7057,MAIN,,D-5B,46,324622
,,,,,,,,
45926,SEPTEMBER,AUG-25-BLK14,12004,MAIN,,A-19B,44.75,537179
45926,SEPTEMBER,AUG-25-TNK5,11429,MAIN,,D-5B,46,525734
45926,SEPTEMBER,SEPT-25-FEED8,9495,MAIN,,,45.25,429648.75
,,,,,,,,
45927,SEPTEMBER,AUG-25-BLK14,15837,MAIN,,A-19B,44.75,708705.75
45927,SEPTEMBER,AUG-25-TNK5,11999,MAIN,,D-5B,46,551954
45927,SEPTEMBER,SEPT-25-FEED8,10000,MAIN,CLOSED,,45.25,452500
,,,,,,,,
45929,SEPTEMBER,AUG-25-BLK14,7317,MAIN,CLOSED,A-19B,44.75,327435.75
45929,SEPTEMBER,AUG-25-TNK5,4836,MAIN,CLOSED,D-5B,46,222456
,,,,,,,,
45931,OCTOBER,AUG-25-BLK8,23826,MAIN,,A-19A,44.46212636,1059354.623
45931,OCTOBER,AUG-25-TNK1,18569,MAIN,,D-3C,45.02921048,836147.4094
45931,OCTOBER,AUG-25-BLK6,2406,MAIN,,C-9A,45,108270
,,,,,,,,
45932,OCTOBER,AUG-25-BLK8,13745,MAIN,,A-19A,44.46212636,611131.9268
45932,OCTOBER,AUG-25-TNK1,18063,MAIN,,D-3C,45.02921048,813362.6289
45932,OCTOBER,AUG-25-BLK6,9507,MAIN,,C-9A,45,427815
45932,OCTOBER,SEPT-25-FEED9,1325,MAIN,,,44.75,59293.75
,,,,,,,,
45933,OCTOBER,AUG-25-BLK8,13598,MAIN,,A-19A,44.46212636,604595.9942
45933,OCTOBER,AUG-25-TNK1,8987,MAIN,,D-3C,45.02921048,404677.5146
45933,OCTOBER,AUG-25-BLK6,6357,MAIN,,C-9A,45,286065
45933,OCTOBER,SEPT-25-FEED9,1500,MAIN,,,44.75,67125
,,,,,,,,
45934,OCTOBER,AUG-25-BLK8,5065,MAIN,CLOSED,A-19A,44.46212636,225200.67
45934,OCTOBER,AUG-25-TNK1,13011,MAIN,CLOSED,D-3C,45.02921048,585875.0576
45934,OCTOBER,AUG-25-BLK6,13547,MAIN,,C-9A,45,609615
45934,OCTOBER,SEPT-25-FEED9,1067,MAIN,,,44.75,47748.25
45934,OCTOBER,AUG-25-TNK6,4438,MAIN,,D-5A,46,204148
,,,,,,,,
45936,OCTOBER,AUG-25-BLK6,20781,MAIN,,C-9A,45,935145
45936,OCTOBER,SEPT-25-FEED9,2000,MAIN,,,44.75,89500
45936,OCTOBER,AUG-25-TNK6,22333,MAIN,,D-5A,46,1027318
,,,,,,,,
45937,OCTOBER,AUG-25-BLK6,15860,MAIN,CLOSED,C-9A,45,713700
45937,OCTOBER,SEPT-25-FEED9,2000,MAIN,,,44.75,89500
45937,OCTOBER,AUG-25-TNK6,18920,MAIN,,D-5A,46,870320
45937,OCTOBER,JUNE-25-BLK9,5419,MAIN,,C-8A,41.15806425,223035.5502
,,,,,,,,
45938,OCTOBER,SEPT-25-FEED9,2000,MAIN,,,44.75,89500
45938,OCTOBER,AUG-25-TNK6,12598,MAIN,CLOSED,D-5A,46,579508
45938,OCTOBER,JUNE-25-BLK9,18527,MAIN,,C-8A,41.15806425,762535.4564
45938,OCTOBER,JULY-25-TNK1,8690,MAIN,,D-2A,43,373670
,,,,,,,,
45939,OCTOBER,SEPT-25-FEED9,3000,MAIN,,,44.75,134250
45939,OCTOBER,JUNE-25-BLK9,11843,MAIN,CLOSED,C-8A,41.15806425,487434.9549
45939,OCTOBER,JULY-25-TNK1,17528,MAIN,,D-2A,43,753704
45939,OCTOBER,JULY-25-TNK2,4930,MAIN,,D-3D,44,216920
,,,,,,,,
45940,OCTOBER,SEPT-25-FEED9,2000,MAIN,,,44.75,89500
45940,OCTOBER,JULY-25-TNK1,5976,MAIN,,D-2A,43,256968
45940,OCTOBER,JULY-25-TNK2,6226,MAIN,,D-3D,44,273944
,,,,,,,,
45943,OCTOBER,SEPT-25-FEED9,5000,MAIN,CLOSED,,44.75,223750
45943,OCTOBER,JULY-25-TNK1,12246,MAIN,,D-2A,43,526578
45943,OCTOBER,JULY-25-TNK2,10638,MAIN,,D-3D,44,468072
,,,,,,,,
45944,OCTOBER,JULY-25-TNK1,8283,MAIN,CLOSED,D-2A,43,356169
45944,OCTOBER,JULY-25-TNK2,10865,MAIN,,D-3D,44,478060
45944,OCTOBER,AUG-25-BLK7,14189,MAIN,,A-18A,43.9252871,623255.8986
,,,,,,,,
45945,OCTOBER,JULY-25-TNK2,10996,MAIN,,D-3D,44,483824
45945,OCTOBER,AUG-25-BLK7,10159,MAIN,,A-18A,43.9252871,446236.9916
45945,OCTOBER,OCT-25-FEED2,8535,MAIN,,,44.75,381941.25
,,,,,,,,
45946,OCTOBER,JULY-25-TNK2,10681,MAIN,,D-3D,44,469964
45946,OCTOBER,AUG-25-BLK7,10573,MAIN,,A-18A,43.9252871,464422.0605
45946,OCTOBER,OCT-25-FEED2,8535,MAIN,CLOSED,,44.75,381941.25
,,,,,,,,
45947,OCTOBER,JULY-25-TNK2,6262,MAIN,CLOSED,D-3D,44,275528
45947,OCTOBER,AUG-25-BLK7,7449,MAIN,,A-18A,43.9252871,327199.4636
45947,OCTOBER,OCT-25-FEED1,2002,MAIN,CLOSED,,1.75,3503.5
45947,OCTOBER,OCT-25-FEED3,18666,MAIN,CLOSED,,44.75,835303.5
,,,,,,,,
45948,OCTOBER,AUG-25-BLK7,11085,MAIN,CLOSED,A-18A,43.9252871,486911.8075
45948,OCTOBER,AUG-25-TNK4,13349,MAIN,,D-4C,46,614054
45948,OCTOBER,OCT-25-BLK12,2445,MAIN,,D-20B,43,105135
45948,OCTOBER,OCT-25-FEED4,6000,MAIN,,,44.75,268500
,,,,,,,,
45950,OCTOBER,AUG-25-TNK4,14349,MAIN,,D-4C,46,660054
45950,OCTOBER,OCT-25-BLK12,17205,MAIN,CLOSED,D-20B,43,739815
45950,OCTOBER,OCT-25-FEED4,10000,MAIN,,,44.75,447500
,,,,,,,,
45951,OCTOBER,AUG-25-TNK4,10397,MAIN,CLOSED,D-4C,46,478262
45951,OCTOBER,OCT-25-FEED4,1875,MAIN,CLOSED,,44.75,83906.25
45951,OCTOBER,AUG-25-TNK2,4409,MAIN,,D-4D,46,202814
45951,OCTOBER,NOV-23-BLK1,15972,MAIN,,C-19B,17.42,278232.24
,,,,,,,,
45952,OCTOBER,AUG-25-TNK2,13089,MAIN,,D-4D,46,602094
45952,OCTOBER,NOV-23-BLK1,12511,MAIN,,C-19B,17.42,217941.62
45952,OCTOBER,OCT-25-FEED5,9280,MAIN,,,44.75,415280
,,,,,,,,
