STATE,WHSE,DATE,SUPPLIER,BLOCK,BLOCK LOC,TRK,WT,SKS,MC,GRIT,ASTM,JIS,VM,ASH,FC,REMARKS,PHP/KG,PHP TTL,MC WTD,GRIT WTD,ASTM WTD,JIS WTD,VM WTD,ASH WTD,FC WTD,CLEAN_BLOCK
CLOSED,WHSE D,45478,Linhap,JUNE-24-BLK3,D-13D,T071602,10096,271,11.07,4.74,0.556,0.576,11.69,12.36,75.95,"T071602 net kilos of 10,855 - 7% (ash) = 10,096 /PILED IN JUNE BLOCK 3",18,181728,111762.72,47855.04,5613.376,5815.296,118022.24,124786.56,766791.2,JUNE-24-BLK3
CLOSED,WHSE C,45479,Sevilla,JUNE-24-BLK4,C-12A,CCN 3648,19962,513,10.74,2.9,0.575,0.595,13.37,4.22,82.41,"CCN3648 net kilos of 20,065 - 103 sack = 19,962 /PILED IN JUNE BLOCK 4",20,399240,214391.88,57889.8,11478.15,11877.39,266891.94,84239.64,1645068.42,JUNE-24-BLK4
CLOSED,WHSE A,45481,Sevilla,JULY-24-BLK1,A-11A,CBP8747,22477,438,11.8,2.27,0.578,0.598,12.49,4.2,83.31,"CBP8747 net kilos of 22,565 - 88sacks = 22,477",19.7,442796.9,265228.6,51022.79,12991.706,13441.246,280737.73,94403.4,1872558.87,JULY-24-BLK1
CLOSED,WHSE D,45482,Namoc,JULY-24-TNK1,D-1D,CBN 7219,31075,780,10.27,3.8,0.559,0.579,10.46,13.1,76.44,,23,714725,319140.25,118085,17370.925,17992.425,325044.5,407082.5,2375373,JULY-24-TNK1
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
CLOSED,WHSE A,45484,Sevilla,JULY-24-BLK1,A-11A,JAO6633,18481,453,10.2,3.14,0.581,0.601,15.51,11.2,73.29,CLASS A,19.7,364075.7,188506.2,58030.34,10737.461,11107.081,286640.31,206987.2,1354472.49,JULY-24-BLK1
,WHSE B,45484,Paquibot,MAY-24-BLK5,B-18A,AAV 6111,18550,444,12,2.66,0.575,0.595,11.69,2.83,85.48,PILED IN MAY BLOCK 05,22,408100,222600,49343,10666.25,11037.25,216849.5,52496.5,1585654,MAY-24-BLK5
CLOSED,WHSE D,45484,Namoc,JULY-24-TNK1,D-1D,CBJ 3567,29215,795,10.07,3.07,0.562,0.582,13.35,2.82,83.83,,23,671945,294195.05,89690.05,16418.83,17003.13,390020.25,82386.3,2449093.45,JULY-24-TNK1
CLOSED,WHSE A,45485,Sevilla,JULY-24-BLK1,A-11A,,19459,,10.2,,0.581,0.581,,8.36,,,19.7,383342.3,198481.8,0,11305.679,11305.679,0,162677.24,0,JULY-24-BLK1
CLOSED,WHSE A,45488,Layupan,JULY-24-BLK2,A-9B,NFD 5679,14293,349,15.2,2.79,0.568,0.588,11.53,3.17,85.3,,17.75,253700.75,217253.6,39877.47,8118.424,8404.284,164798.29,45308.81,1219192.9,JULY-24-BLK2
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
,WHSE B,45489,Paquibot,MAY-24-BLK5,B-18A,AAV 6111,17785,456,11.74,2.5,0.575,0.595,12.63,4.13,83.24,,22,391270,208795.9,44462.5,10226.375,10582.075,224624.55,73452.05,1480423.4,MAY-24-BLK5
CLOSED,WHSE D,45489,Tag-at,JULY-24-BLK3,D-7C,MAT 1476,7145,212,7.34,1.05,0.581,0.601,12.67,2.45,84.88,,20,142900,52444.3,7502.25,4151.245,4294.145,90527.15,17505.25,606467.6,JULY-24-BLK3
,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
CLOSED,WHSE C,45490,Sevilla,JULY-24-BLK4,C-12B,CBF 5993,22551,443,10.87,2.94,0.581,0.601,14.84,1.9,83.26,,20,451020,245129.37,66299.94,13102.131,13553.151,334656.84,42846.9,1877596.26,JULY-24-BLK4
